# Data basis: lognormal grain size distributions from SEM image analysis (ceramics handbook typical)
# Al2O3 sintered at 1550°C: lognormal, median ~3 um (coarse grain)
# 3Y-TZP sintered at 1400°C: lognormal, median ~0.4 um (submicron, inhibits grain growth)
# Claim: grain size depends on sintering T and dopants; distribution is from 2D section, not true 3D size
grain_size_um,alumina_freq,zirconia_freq
0.10,0,1
0.15,0,4
0.19,0,11
0.24,0,27
0.28,0,38
0.33,0,51
0.38,0,49
0.42,0,44
0.47,0,37
0.50,2,0
0.51,0,29
0.56,0,22
0.60,0,16
0.65,0,11
0.70,0,8
0.74,0,5
0.75,1,0
0.79,0,5
0.83,0,2
0.88,0,4
0.92,0,2
0.97,0,0
1.00,7,0
1.02,0,0
1.06,0,1
1.11,0,1
1.15,0,0
1.20,0,0
1.25,17,0
1.50,27,0
1.75,34,0
2.00,41,0
2.25,45,0
2.50,44,0
2.75,44,0
3.00,42,0
3.25,37,0
3.50,33,0
3.75,28,0
4.00,22,0
4.25,22,0
4.50,18,0
4.75,15,0
5.00,12,0
5.25,12,0
5.50,10,0
5.75,8,0
6.00,5,0
6.25,5,0
6.50,4,0
6.75,3,0
7.00,3,0
7.25,2,0
7.50,2,0
7.75,0,0
8.00,1,0
8.25,2,0
8.50,0,0
8.75,0,0
9.00,0,0
