# Data basis: typical sintering densification curves (air, 5°C/min, 2h dwell)
# Al2O3: densification onset ~1200°C, 98%+ relative density at 1550-1600°C
# 3Y-TZP: onset ~1100°C, dense at 1400-1450°C (lower T due to higher diffusion)
# Claim: densification depends on heating rate, dwell, particle size, and atmosphere; values are relative density %
temperature,alumina_density_pct,zirconia_density_pct
1000,55.1,60.45
1025,55.19,60.37
1050,55.61,60.67
1075,55.93,60.97
1100,55.33,60.23
1125,56.03,59.67
1150,56.82,60.52
1175,56.35,60.84
1200,55.42,61.39
1225,55.78,61.53
1250,55.75,63.14
1275,55.99,64.25
1300,56.43,66.71
1325,57.86,70.92
1350,58.0,75.53
1375,59.69,79.59
1400,62.12,84.39
1425,64.32,89.31
1450,68.07,91.0
1475,71.82,93.83
1500,76.93,95.95
1525,80.81,97.08
1550,84.47,97.43
1575,88.06,97.06
1600,90.86,98.06
1625,93.62,98.03
1650,94.37,97.5
