# Data basis: representative TGA/DSC of Al2O3 (stable alpha) and ZrO2 sol-gel precursor
# Al2O3: only 0.5% adsorbed water loss 100-200°C, stable to 1400°C (already alpha phase)
# ZrO2 precursor: 5% solvent loss <150°C, 10% organics burn-off 300-500°C, phase transition ~1170°C
# DSC: exothermic up; endothermic peaks = water desorption / phase transition; exothermic = organics combustion
# Claim: thermal events are literature-supported; exact peak T depends on heating rate and precursor chemistry
temperature,alumina_mass,zirconia_mass,alumina_dsc,zirconia_dsc
25,100.019,100.004,0.002,-0.028
50,99.985,98.97,0.025,-0.041
75,99.92,97.918,-0.026,-0.046
100,99.767,97.052,-0.084,-0.585
125,99.76,96.013,-0.206,-1.141
150,99.677,95.032,-0.282,-0.296
175,99.563,95.06,-0.148,-0.017
200,99.489,94.981,-0.033,-0.001
225,99.524,95.055,0.024,0.025
250,99.492,94.976,0.001,0.005
275,99.497,94.955,0.005,0.059
300,99.516,94.997,0.008,0.017
325,99.471,93.627,-0.03,0.052
350,99.445,92.43,0.011,0.533
375,99.502,91.265,0.034,1.697
400,99.484,89.984,-0.017,2.519
425,99.501,88.784,0.035,1.639
450,99.555,87.526,-0.023,0.524
475,99.529,86.213,-0.003,0.096
500,99.496,84.979,0.004,0.009
525,99.506,84.953,0.015,0.008
550,99.534,85.023,0.024,-0.016
575,99.504,84.988,-0.012,-0.002
600,99.523,85.027,0.005,-0.031
625,99.543,85.0,0.006,-0.025
650,99.464,84.929,0.008,0.02
675,99.482,85.018,0.0,0.013
700,99.47,85.041,0.018,-0.039
725,99.543,84.986,-0.01,-0.033
750,99.489,84.955,-0.005,0.001
775,99.499,85.096,-0.005,0.037
800,99.501,85.003,-0.026,-0.016
825,99.499,84.939,-0.013,-0.027
850,99.485,85.046,0.011,0.001
875,99.494,85.017,0.035,0.015
900,99.53,84.957,-0.01,0.036
925,99.517,84.968,-0.041,-0.04
950,99.463,85.051,-0.026,0.06
975,99.441,85.041,-0.008,0.013
1000,99.467,85.025,0.022,0.005
1025,99.508,84.978,0.018,0.005
1050,99.519,84.943,-0.01,-0.013
1075,99.478,85.074,0.005,-0.056
1100,99.446,84.962,0.014,-0.096
1125,99.472,84.996,-0.016,-0.306
1150,99.525,84.993,-0.015,-0.682
1175,99.493,85.015,0.006,-0.778
1200,99.526,84.987,-0.033,-0.608
1225,99.497,84.958,-0.02,-0.226
1250,99.472,84.983,-0.007,-0.073
1275,99.578,84.947,0.009,-0.017
1300,99.567,85.037,0.021,-0.006
1325,99.509,84.964,-0.011,-0.029
1350,99.437,85.139,0.001,-0.001
1375,99.514,85.139,0.003,-0.025
1400,99.555,84.916,-0.003,-0.066
