# Data basis: ceramics handbook k(T) curves; phonon-dominated conduction (k decreases with T)
# Al2O3: 30 W/m.K (25°C) -> 8 W/m.K (1000°C)
# 3Y-TZP: ~2.5 W/m.K (thermal barrier coating material, low k)
# SiC: 120 W/m.K (25°C) -> 45 W/m.K (high thermal conductivity ceramic)
# Claim: k depends on density, porosity, and grain size; values are for fully dense samples
temperature,alumina_k,zirconia_k,sic_k
25,30.06,2.53,121.58
50,28.65,2.42,113.09
75,27.32,2.48,106.06
100,26.39,2.47,100.88
125,25.05,2.5,96.77
150,24.14,2.52,91.03
175,23.71,2.45,88.66
200,23.01,2.51,83.85
225,21.99,2.38,80.16
250,21.43,2.44,75.7
275,21.05,2.41,74.83
300,20.67,2.39,71.65
325,19.98,2.39,69.16
350,19.23,2.47,67.8
375,18.82,2.31,65.06
400,18.29,2.32,63.07
425,18.03,2.43,61.75
450,17.55,2.51,58.55
475,17.36,2.4,58.95
500,16.79,2.4,55.18
525,16.54,2.34,55.99
550,16.5,2.38,52.74
575,16.23,2.32,51.9
600,16.05,2.32,51.62
625,15.28,2.34,50.04
650,15.24,2.28,50.5
675,15.16,2.22,47.6
700,14.67,2.25,48.03
725,14.33,2.21,45.52
750,14.48,2.33,43.47
775,14.18,2.27,43.36
800,14.04,2.31,43.22
825,14.06,2.12,41.63
850,13.22,2.25,42.68
875,13.27,2.23,40.82
900,13.03,2.25,40.35
925,12.7,2.14,40.11
950,13.16,2.15,39.32
975,12.96,2.26,39.67
1000,12.29,2.22,36.48
