# Data basis: mean CTE values from ceramics handbook (25-1000°C dilatometry)
# Al2O3: CTE ~8e-6/K; 3Y-TZP: CTE ~10e-6/K; SiC: CTE ~4.5e-6/K
# dL/L0 (%) = CTE * (T - 25) * 100
# Claim: CTE is temperature-averaged; true CTE increases slightly with T, values are engineering averages
temperature,alumina_expansion,zirconia_expansion,sic_expansion
25,-0.006,-0.001,-0.002
50,0.018,0.019,0.01
75,0.044,0.047,0.026
100,0.058,0.075,0.046
125,0.087,0.097,0.046
150,0.104,0.128,0.054
175,0.119,0.144,0.063
200,0.14,0.167,0.075
225,0.157,0.205,0.087
250,0.18,0.239,0.101
275,0.204,0.254,0.114
300,0.223,0.281,0.12
325,0.235,0.315,0.127
350,0.255,0.323,0.141
375,0.282,0.355,0.166
400,0.298,0.362,0.17
425,0.317,0.393,0.189
450,0.345,0.434,0.19
475,0.359,0.451,0.205
500,0.373,0.484,0.21
525,0.391,0.504,0.232
550,0.421,0.529,0.243
575,0.432,0.55,0.245
600,0.467,0.58,0.257
625,0.479,0.597,0.275
650,0.497,0.627,0.281
675,0.514,0.648,0.29
700,0.539,0.679,0.307
725,0.559,0.694,0.31
750,0.581,0.726,0.329
775,0.597,0.75,0.336
800,0.62,0.767,0.35
825,0.637,0.799,0.359
850,0.655,0.821,0.371
875,0.681,0.859,0.383
900,0.702,0.881,0.394
925,0.723,0.893,0.408
950,0.743,0.933,0.413
975,0.763,0.948,0.423
1000,0.777,0.976,0.436
