# Data basis: Weibull distribution (inverse transform sampling), not normal distribution
# Al2O3: Weibull modulus m=10, characteristic strength sigma0=350 MPa, n=30
# 3Y-TZP: m=12, sigma0=900 MPa, n=30
# Claim: Weibull modulus reflects flaw distribution; valid only for same processing route and specimen geometry
specimen_id,material,strength_mpa
A01,Al2O3,362.0
A02,Al2O3,313.6
A03,Al2O3,401.3
A04,Al2O3,341.9
A05,Al2O3,344.1
A06,Al2O3,284.2
A07,Al2O3,204.3
A08,Al2O3,267.7
A09,Al2O3,356.0
A10,Al2O3,291.5
A11,Al2O3,337.5
A12,Al2O3,324.2
A13,Al2O3,366.4
A14,Al2O3,351.2
A15,Al2O3,323.9
A16,Al2O3,359.0
A17,Al2O3,315.9
A18,Al2O3,292.4
A19,Al2O3,398.7
A20,Al2O3,349.1
A21,Al2O3,270.3
A22,Al2O3,308.5
A23,Al2O3,389.7
A24,Al2O3,379.3
A25,Al2O3,336.9
A26,Al2O3,301.1
A27,Al2O3,295.8
A28,Al2O3,382.7
A29,Al2O3,281.2
A30,Al2O3,293.5
Z01,3Y-TZP,896.4
Z02,3Y-TZP,941.4
Z03,3Y-TZP,911.3
Z04,3Y-TZP,841.0
Z05,3Y-TZP,898.4
Z06,3Y-TZP,893.9
Z07,3Y-TZP,793.5
Z08,3Y-TZP,784.7
Z09,3Y-TZP,957.9
Z10,3Y-TZP,810.5
Z11,3Y-TZP,774.1
Z12,3Y-TZP,716.5
Z13,3Y-TZP,866.7
Z14,3Y-TZP,755.5
Z15,3Y-TZP,803.8
Z16,3Y-TZP,934.5
Z17,3Y-TZP,767.9
Z18,3Y-TZP,893.4
Z19,3Y-TZP,867.1
Z20,3Y-TZP,799.8
Z21,3Y-TZP,858.9
Z22,3Y-TZP,902.7
Z23,3Y-TZP,833.6
Z24,3Y-TZP,756.1
Z25,3Y-TZP,982.2
Z26,3Y-TZP,858.1
Z27,3Y-TZP,844.3
Z28,3Y-TZP,889.6
Z29,3Y-TZP,867.3
Z30,3Y-TZP,745.4
