# Data basis: Brittle-material strength distributions and repeatability
#   Panel a: Al2O3 flexural strength (n=30), Weibull-distributed, characteristic ~360 MPa,
#   Weibull modulus m~8 (Weibull statistics are the standard model for ceramic strength,
#   not normal; per Weibull (1951) and ASTM C1239).
#   Panel b: Al2O3-30%ZrO2 composite strength (n=60), bimodal — two populations from
#   ZrO2-toughened and matrix-dominant failure modes (per Hannink, JACS 2000).
#   Panel c: flexural strength distributions of 4 ceramics (n=20 each), for between-group
#   comparison (ASM Handbook Vol 2 ranges).
#   Panel d: Vickers hardness repeatability (n=6 per material, GPa), mean +/- SD,
#   per ASTM E384; SiC highest (~26 GPa), ZrO2 lowest (~12.5 GPa).
# Schema: panel,group,value
panel,group,value
a,Al2O3,295
a,Al2O3,305
a,Al2O3,312
a,Al2O3,318
a,Al2O3,325
a,Al2O3,330
a,Al2O3,335
a,Al2O3,340
a,Al2O3,342
a,Al2O3,348
a,Al2O3,350
a,Al2O3,352
a,Al2O3,355
a,Al2O3,358
a,Al2O3,360
a,Al2O3,362
a,Al2O3,365
a,Al2O3,368
a,Al2O3,372
a,Al2O3,375
a,Al2O3,378
a,Al2O3,382
a,Al2O3,385
a,Al2O3,388
a,Al2O3,392
a,Al2O3,395
a,Al2O3,400
a,Al2O3,408
a,Al2O3,415
a,Al2O3,425
b,Composite,410
b,Composite,420
b,Composite,425
b,Composite,430
b,Composite,435
b,Composite,440
b,Composite,442
b,Composite,445
b,Composite,448
b,Composite,450
b,Composite,452
b,Composite,455
b,Composite,458
b,Composite,460
b,Composite,462
b,Composite,465
b,Composite,468
b,Composite,470
b,Composite,472
b,Composite,475
b,Composite,478
b,Composite,480
b,Composite,482
b,Composite,485
b,Composite,488
b,Composite,490
b,Composite,495
b,Composite,500
b,Composite,505
b,Composite,510
b,Composite,580
b,Composite,595
b,Composite,605
b,Composite,615
b,Composite,620
b,Composite,625
b,Composite,630
b,Composite,635
b,Composite,640
b,Composite,645
b,Composite,648
b,Composite,650
b,Composite,652
b,Composite,655
b,Composite,658
b,Composite,660
b,Composite,662
b,Composite,665
b,Composite,668
b,Composite,670
b,Composite,672
b,Composite,675
b,Composite,678
b,Composite,680
b,Composite,685
b,Composite,690
b,Composite,695
b,Composite,700
b,Composite,710
b,Composite,720
c,Al2O3,310
c,Al2O3,320
c,Al2O3,325
c,Al2O3,330
c,Al2O3,335
c,Al2O3,338
c,Al2O3,340
c,Al2O3,342
c,Al2O3,345
c,Al2O3,348
c,Al2O3,350
c,Al2O3,352
c,Al2O3,355
c,Al2O3,358
c,Al2O3,360
c,Al2O3,362
c,Al2O3,365
c,Al2O3,370
c,Al2O3,375
c,Al2O3,380
c,ZrO2,880
c,ZrO2,900
c,ZrO2,920
c,ZrO2,940
c,ZrO2,950
c,ZrO2,960
c,ZrO2,970
c,ZrO2,980
c,ZrO2,990
c,ZrO2,1000
c,ZrO2,1010
c,ZrO2,1020
c,ZrO2,1030
c,ZrO2,1040
c,ZrO2,1050
c,ZrO2,1060
c,ZrO2,1080
c,ZrO2,1100
c,ZrO2,1120
c,ZrO2,1150
c,SiC,420
c,SiC,430
c,SiC,440
c,SiC,445
c,SiC,450
c,SiC,455
c,SiC,460
c,SiC,465
c,SiC,470
c,SiC,475
c,SiC,480
c,SiC,485
c,SiC,490
c,SiC,495
c,SiC,500
c,SiC,505
c,SiC,510
c,SiC,520
c,SiC,530
c,SiC,540
c,Si3N4,600
c,Si3N4,620
c,Si3N4,640
c,Si3N4,650
c,Si3N4,660
c,Si3N4,670
c,Si3N4,680
c,Si3N4,690
c,Si3N4,700
c,Si3N4,710
c,Si3N4,720
c,Si3N4,730
c,Si3N4,740
c,Si3N4,750
c,Si3N4,760
c,Si3N4,770
c,Si3N4,780
c,Si3N4,790
c,Si3N4,800
c,Si3N4,820
d,Al2O3,18.5
d,Al2O3,19.0
d,Al2O3,18.8
d,Al2O3,19.2
d,Al2O3,18.6
d,Al2O3,19.1
d,ZrO2,12.5
d,ZrO2,12.8
d,ZrO2,12.3
d,ZrO2,12.6
d,ZrO2,12.7
d,ZrO2,12.4
d,SiC,26.0
d,SiC,26.5
d,SiC,25.8
d,SiC,26.2
d,SiC,26.4
d,SiC,25.9
d,Si3N4,14.5
d,Si3N4,15.0
d,Si3N4,14.7
d,Si3N4,14.8
d,Si3N4,14.6
d,Si3N4,14.9
