# Data basis: Concrete mix-design strength development and literature evidence coverage
#   Panel a: 6 binder systems x 6 curing ages, compressive strength (MPa), same units so a
#   sequential colormap is meaningful. Ranges per Mindess/Young, ACI 232 (fly ash),
#   ACI 233 (slag), ACI 234 (silica fume), ACI 234R (metakaolin). SCMs lower early strength,
#   higher late strength.
#   Panel b: z-score of panel a (computed in script), deviation of each mix from the
#   column (age) mean — which mix beats the age-average.
#   Panel c: evidence-coverage matrix, cell = number of peer-reviewed studies found per
#   claim x evidence layer (systematic-review style, 0-15 scale).
#   Panel d: pre-computed Pearson correlation matrix between 6 mix-design performance
#   metrics (28d_str, 90d_str, chloride_resist, shrinkage, set_time, workability).
panel,row,col,value
a,MixA-OPC,1d,10
a,MixA-OPC,3d,22
a,MixA-OPC,7d,35
a,MixA-OPC,28d,52
a,MixA-OPC,90d,60
a,MixA-OPC,180d,64
a,MixB-FA30,1d,7
a,MixB-FA30,3d,16
a,MixB-FA30,7d,28
a,MixB-FA30,28d,50
a,MixB-FA30,90d,65
a,MixB-FA30,180d,72
a,MixC-Slag50,1d,8
a,MixC-Slag50,3d,19
a,MixC-Slag50,7d,32
a,MixC-Slag50,28d,55
a,MixC-Slag50,90d,70
a,MixC-Slag50,180d,76
a,MixD-SF10,1d,14
a,MixD-SF10,3d,28
a,MixD-SF10,7d,42
a,MixD-SF10,28d,58
a,MixD-SF10,90d,64
a,MixD-SF10,180d,67
a,MixE-MK10,1d,13
a,MixE-MK10,3d,26
a,MixE-MK10,7d,40
a,MixE-MK10,28d,56
a,MixE-MK10,90d,66
a,MixE-MK10,180d,70
a,MixF-Ternary,1d,9
a,MixF-Ternary,3d,20
a,MixF-Ternary,7d,33
a,MixF-Ternary,28d,54
a,MixF-Ternary,90d,68
a,MixF-Ternary,180d,74
c,FA-late-strength,Compressive,12
c,FA-late-strength,Rapid-chloride,8
c,FA-late-strength,SEM-EDS,9
c,FA-late-strength,XRD,7
c,FA-late-strength,Field-exposure,5
c,FA-late-strength,LCA,3
c,Slag-chloride,Compressive,10
c,Slag-chloride,Rapid-chloride,14
c,Slag-chloride,SEM-EDS,8
c,Slag-chloride,XRD,6
c,Slag-chloride,Field-exposure,6
c,Slag-chloride,LCA,4
c,SF-permeability,Compressive,8
c,SF-permeability,Rapid-chloride,11
c,SF-permeability,SEM-EDS,10
c,SF-permeability,XRD,5
c,SF-permeability,Field-exposure,4
c,SF-permeability,LCA,2
c,MK-shrinkage,Compressive,7
c,MK-shrinkage,Rapid-chloride,5
c,MK-shrinkage,SEM-EDS,6
c,MK-shrinkage,XRD,4
c,MK-shrinkage,Field-exposure,3
c,MK-shrinkage,LCA,1
c,Ternary-durability,Compressive,6
c,Ternary-durability,Rapid-chloride,9
c,Ternary-durability,SEM-EDS,7
c,Ternary-durability,XRD,5
c,Ternary-durability,Field-exposure,4
c,Ternary-durability,LCA,3
d,28d_str,28d_str,1.00
d,28d_str,90d_str,0.85
d,28d_str,chloride_resist,-0.55
d,28d_str,shrinkage,-0.30
d,28d_str,set_time,-0.45
d,28d_str,workability,-0.20
d,90d_str,28d_str,0.85
d,90d_str,90d_str,1.00
d,90d_str,chloride_resist,-0.70
d,90d_str,shrinkage,-0.25
d,90d_str,set_time,-0.40
d,90d_str,workability,-0.15
d,chloride_resist,28d_str,-0.55
d,chloride_resist,90d_str,-0.70
d,chloride_resist,chloride_resist,1.00
d,chloride_resist,shrinkage,0.20
d,chloride_resist,set_time,0.35
d,chloride_resist,workability,0.10
d,shrinkage,28d_str,-0.30
d,shrinkage,90d_str,-0.25
d,shrinkage,chloride_resist,0.20
d,shrinkage,shrinkage,1.00
d,shrinkage,set_time,0.50
d,shrinkage,workability,0.30
d,set_time,28d_str,-0.45
d,set_time,90d_str,-0.40
d,set_time,chloride_resist,0.35
d,set_time,shrinkage,0.50
d,set_time,set_time,1.00
d,set_time,workability,0.40
d,workability,28d_str,-0.20
d,workability,90d_str,-0.15
d,workability,chloride_resist,0.10
d,workability,shrinkage,0.30
d,workability,set_time,0.40
d,workability,workability,1.00
