# Data basis: Multi-index performance benchmarking and angular microstructure data
#   Panel a: asphalt modifier screening, 5 indices normalized 0-1 (higher better).
#   Neat, SBS, crumb-rubber per Asphalt Institute / Roberts et al. (hot-mix asphalt).
#   Panel b: fiber orientation distribution in a cross-ply composite, polar histogram
#   of fiber counts per 15-degree bin (peaks at 0 and 90 deg, per Krenchel).
#   Panel c: ceramic thermal-mechanical screening, 5 indices normalized 0-1
#   (hardness, toughness, strength, thermal-shock, thermal-conductivity) per ASM Handbook.
#   Panel d: anisotropic elastic modulus of a cross-ply composite vs fiber angle (deg),
#   normalized to 0-deg modulus; min near 45 deg per lamination theory (Tsai-Pai).
# Schema: panel,category,series,value
panel,category,series,value
a,Bond strength,Neat,0.45
a,Bond strength,SBS,0.80
a,Bond strength,Crumb-rubber,0.70
a,Rutting resist,Neat,0.40
a,Rutting resist,SBS,0.85
a,Rutting resist,Crumb-rubber,0.75
a,Fatigue life,Neat,0.50
a,Fatigue life,SBS,0.85
a,Fatigue life,Crumb-rubber,0.70
a,Moisture resist,Neat,0.55
a,Moisture resist,SBS,0.75
a,Moisture resist,Crumb-rubber,0.70
a,Workability,Neat,0.90
a,Workability,SBS,0.60
a,Workability,Crumb-rubber,0.50
b,0,fiber,45
b,15,fiber,12
b,30,fiber,8
b,45,fiber,5
b,60,fiber,8
b,75,fiber,10
b,90,fiber,40
b,105,fiber,10
b,120,fiber,8
b,135,fiber,5
b,150,fiber,8
b,165,fiber,12
c,Hardness,Al2O3,0.75
c,Hardness,ZrO2,0.50
c,Hardness,SiC,0.95
c,Toughness,Al2O3,0.45
c,Toughness,ZrO2,0.90
c,Toughness,SiC,0.40
c,Strength,Al2O3,0.40
c,Strength,ZrO2,0.95
c,Strength,SiC,0.55
c,Thermal shock,Al2O3,0.55
c,Thermal shock,ZrO2,0.70
c,Thermal shock,SiC,0.85
c,Thermal cond,Al2O3,0.60
c,Thermal cond,ZrO2,0.30
c,Thermal cond,SiC,0.95
d,0,Cross-ply composite,1.00
d,15,Cross-ply composite,0.85
d,30,Cross-ply composite,0.55
d,45,Cross-ply composite,0.40
d,60,Cross-ply composite,0.55
d,75,Cross-ply composite,0.85
d,90,Cross-ply composite,1.00
d,105,Cross-ply composite,0.85
d,120,Cross-ply composite,0.55
d,135,Cross-ply composite,0.40
d,150,Cross-ply composite,0.55
d,165,Cross-ply composite,0.85
d,180,Cross-ply composite,1.00
