# Data basis: Ceramic mechanical-property tradeoffs from materials science relations
#   Panel a: Gibson-Ashby porosity-strength, sigma = sigma0 * exp(-b*P), b~4 for Al2O3
#   (Gibson & Ashby, Cellular Solids; Rice, Porosity of Ceramics). Al2O3 sigma0 ~400 MPa.
#   Panel b: Hall-Petch grain-size-strength, sigma = sigma0 + k*d^(-0.5), k~300 MPa.um^0.5;
#   bubble size = sintered density (g/cm3) per material data sheets.
#   Panel c: strength-toughness quadrant, 4 structural ceramics (ASM Handbook Vol 2).
#   Panel d: modification screening "volcano", x = relative change vs control (%),
#   y = -log10(p) from two-sample t-test; significance threshold p<0.05 => -log10(p)>1.3.
panel,x,y,size,group
a,1.2,381,,Al2O3
a,2.0,369,,Al2O3
a,2.5,362,,Al2O3
a,3.1,353,,Al2O3
a,4.0,341,,Al2O3
a,4.5,333,,Al2O3
a,5.2,324,,Al2O3
a,6.0,314,,Al2O3
a,7.1,300,,Al2O3
a,7.5,295,,Al2O3
a,8.0,290,,Al2O3
a,9.2,276,,Al2O3
a,9.8,271,,Al2O3
a,10.0,268,,Al2O3
a,10.8,259,,Al2O3
a,11.5,252,,Al2O3
a,12.3,244,,Al2O3
a,13.0,237,,Al2O3
a,13.8,229,,Al2O3
a,14.5,223,,Al2O3
b,1.0,380,3.9,Al2O3
b,1.8,350,3.9,Al2O3
b,3.0,330,3.9,Al2O3
b,5.0,310,3.9,Al2O3
b,8.0,295,3.9,Al2O3
b,0.5,1100,6.0,ZrO2
b,0.8,1050,6.0,ZrO2
b,1.2,980,6.0,ZrO2
b,2.0,920,6.0,ZrO2
b,3.5,870,6.0,ZrO2
b,1.5,510,3.2,SiC
b,2.5,490,3.2,SiC
b,4.0,470,3.2,SiC
b,6.0,450,3.2,SiC
b,10.0,430,3.2,SiC
b,0.8,820,3.2,Si3N4
b,1.5,780,3.2,Si3N4
b,2.5,740,3.2,Si3N4
b,4.0,700,3.2,Si3N4
b,7.0,660,3.2,Si3N4
c,335,3.8,,Al2O3
c,350,3.9,,Al2O3
c,370,4.0,,Al2O3
c,385,3.7,,Al2O3
c,910,7.2,,ZrO2
c,1000,7.5,,ZrO2
c,1080,7.8,,ZrO2
c,1120,7.0,,ZrO2
c,455,3.2,,SiC
c,480,3.3,,SiC
c,500,3.1,,SiC
c,525,3.4,,SiC
c,705,6.4,,Si3N4
c,750,6.6,,Si3N4
c,790,6.8,,Si3N4
c,825,6.2,,Si3N4
d,12,3.5,,sig-up
d,15,4.2,,sig-up
d,18,3.8,,sig-up
d,22,4.5,,sig-up
d,25,3.2,,sig-up
d,8,2.8,,sig-up
d,10,3.0,,sig-up
d,20,4.0,,sig-up
d,14,3.6,,sig-up
d,16,3.9,,sig-up
d,3,0.8,,ns
d,-2,0.5,,ns
d,5,1.0,,ns
d,-5,0.7,,ns
d,2,0.9,,ns
d,-3,0.6,,ns
d,4,0.8,,ns
d,-1,0.4,,ns
d,6,1.1,,ns
d,-4,0.5,,ns
d,-15,3.3,,sig-down
d,-18,3.7,,sig-down
d,-12,3.0,,sig-down
d,-20,4.0,,sig-down
d,-10,2.5,,sig-down
