strain,stress_MPa,work_hardening_MPa
0.00000,-1.47,112327.17
0.00015,15.22,112738.72
0.00030,32.03,121393.75
0.00045,51.29,116288.69
0.00059,66.59,116933.47
0.00074,86.04,118084.62
0.00089,101.68,110949.86
0.00104,119.01,108187.26
0.00119,133.83,111673.71
0.00134,152.20,126679.92
0.00149,171.48,113676.51
0.00163,185.98,117229.75
0.00178,206.31,111418.63
0.00193,219.09,106593.10
0.00208,237.99,115580.45
0.00223,253.44,102003.22
0.00238,268.30,117733.80
0.00253,288.43,133555.84
0.00267,307.99,109637.99
0.00282,321.01,91543.07
0.00297,335.20,114824.51
0.00312,355.13,123820.39
0.00327,371.99,121417.36
0.00342,391.21,108620.55
0.00357,404.27,105944.21
0.00371,422.70,121115.45
0.00386,440.26,115315.93
0.00401,456.96,114962.02
0.00416,474.43,108949.63
0.00431,489.34,108621.74
0.00446,506.70,119291.68
0.00461,524.79,133469.31
0.00475,546.37,114673.13
0.00490,558.87,91527.60
0.00505,573.57,110629.44
0.00520,591.74,126064.78
0.00535,611.03,125200.30
0.00550,628.95,110601.02
0.00565,643.90,112545.79
0.00579,662.40,107236.84
0.00594,675.77,99489.72
0.00609,691.96,124318.78
0.00624,712.71,119951.20
0.00639,727.61,108029.66
0.00654,744.81,115759.87
0.00669,762.01,112013.11
0.00683,778.10,108714.63
0.00698,794.31,116263.23
0.00713,812.65,122032.49
0.00728,830.58,nan
0.00728,829.67,nan
0.00815,857.97,20914.40
0.00902,865.97,6135.90
0.00988,868.63,2763.34
0.01075,870.77,2038.60
0.01162,872.16,3927.29
0.01249,877.58,-1735.77
0.01336,869.15,-3011.70
0.01422,872.36,4727.72
0.01509,877.36,1193.17
0.01596,874.43,-3456.37
0.01683,871.36,1660.48
0.01770,877.31,5279.98
0.01856,880.52,-2571.72
0.01943,872.85,-3019.54
0.02030,875.28,1781.08
0.02117,875.94,-1121.77
0.02204,873.33,1366.57
0.02290,878.31,5207.86
0.02377,882.37,659.43
0.02464,879.45,681.54
0.02551,883.56,656.71
0.02638,880.59,-1776.40
0.02724,880.47,1190.44
0.02811,882.66,-138.10
0.02898,880.23,-4621.44
0.02985,874.64,2586.25
0.03071,884.72,8044.69
0.03158,888.60,2560.54
0.03245,889.17,2521.02
0.03332,892.98,-4093.88
0.03419,882.06,-4252.16
0.03505,885.60,-862.59
0.03592,880.56,-2084.52
0.03679,881.98,817.23
0.03766,881.98,2938.14
0.03853,887.08,1124.64
0.03939,883.94,-3561.32
0.04026,880.90,-783.83
0.04113,882.57,-653.64
0.04200,879.76,-1003.18
0.04287,880.83,5298.82
0.04373,888.96,1760.30
0.04460,883.89,-2704.82
0.04547,884.27,3428.70
0.04634,889.84,1856.37
