strain,stress_MPa,work_hardening_MPa
0.00000,-1.68,135202.92
0.00017,21.31,126837.04
0.00034,41.46,109635.78
0.00051,58.60,99814.21
0.00068,75.41,124501.57
0.00085,100.95,117351.33
0.00102,115.32,95610.15
0.00119,133.47,120924.81
0.00136,156.46,111000.78
0.00153,171.22,104572.34
0.00170,192.02,125986.45
0.00187,214.08,120158.64
0.00204,232.89,106270.25
0.00221,250.22,106707.12
0.00238,269.19,123332.60
0.00255,292.17,122120.53
0.00272,310.73,119779.22
0.00289,332.91,113306.19
0.00306,349.27,102868.77
0.00323,367.90,113389.99
0.00340,387.83,112506.60
0.00357,406.17,115769.79
0.00374,427.21,101780.09
0.00391,440.79,118396.02
0.00408,467.48,121813.09
0.00425,482.22,98804.76
0.00442,501.09,121449.19
0.00459,523.53,121979.77
0.00476,542.58,109426.74
0.00493,560.75,107866.01
0.00510,579.27,115044.89
0.00527,599.88,127370.15
0.00544,622.59,111331.85
0.00561,637.75,113223.10
0.00578,661.10,123240.86
0.00595,679.67,112978.25
0.00612,699.53,107468.15
0.00629,716.22,106570.15
0.00646,735.78,118736.62
0.00663,756.61,111259.92
0.00680,773.62,116330.44
0.00697,796.18,116169.94
0.00714,813.14,114080.85
0.00731,834.98,109510.10
0.00748,850.38,115847.26
0.00765,874.39,124717.65
0.00782,892.81,105421.54
0.00799,910.24,109279.76
0.00816,929.98,117615.04
0.00833,950.25,nan
0.00833,950.72,nan
0.00889,993.58,38803.01
0.00946,994.27,5878.74
0.01002,1000.18,1308.91
0.01058,995.74,4080.42
0.01114,1004.76,2021.21
0.01170,998.01,-7905.03
0.01226,995.89,5072.62
0.01282,1003.70,7456.45
0.01338,1004.25,804.57
0.01394,1004.60,1379.89
0.01451,1005.80,-3521.98
0.01507,1000.65,-3399.57
0.01563,1001.99,3867.96
0.01619,1004.99,2669.67
0.01675,1004.98,-629.49
0.01731,1004.29,2875.12
0.01787,1008.21,692.63
0.01843,1005.06,-3670.35
0.01899,1004.09,-473.71
0.01956,1004.53,1177.35
0.02012,1005.41,4175.78
0.02068,1009.22,-1217.94
0.02124,1004.05,2915.35
0.02180,1012.49,2456.48
0.02236,1006.80,-4843.86
0.02292,1007.05,8243.72
0.02348,1016.05,-1680.26
0.02405,1005.17,-7673.04
0.02461,1007.44,2753.04
0.02517,1008.26,880.57
0.02573,1008.43,-3864.66
0.02629,1003.92,607.94
0.02685,1009.11,1373.73
0.02741,1005.46,-4496.78
0.02797,1004.07,-2299.48
0.02853,1002.88,8139.16
0.02910,1013.20,6844.22
0.02966,1010.56,-3314.31
0.03022,1009.48,-690.36
0.03078,1009.79,468.25
0.03134,1010.01,638.35
0.03190,1010.50,3056.56
0.03246,1013.44,195.50
0.03302,1010.72,-2449.52
0.03358,1010.69,-836.55
0.03415,1009.78,3001.53
0.03471,1014.06,-1783.61
0.03527,1007.78,-15.24
0.03583,1014.04,5638.77
0.03639,1014.11,-720.54
0.03695,1013.23,-5570.22
0.03751,1007.86,59.26
0.03807,1013.30,3185.80
0.03863,1011.43,-1518.17
0.03920,1011.59,-3352.57
0.03976,1007.67,-632.73
0.04032,1010.88,3849.51
0.04088,1011.99,1707.20
