diameter_nm,intensity_percent
5.0,0.12
5.5,0.28
6.0,0.51
6.5,0.89
7.0,1.42
7.5,2.18
8.0,3.25
8.5,4.67
9.0,6.48
9.5,8.72
10.0,11.35
10.5,14.28
11.0,17.42
11.5,20.65
12.0,23.87
12.5,26.95
13.0,29.78
13.5,32.25
14.0,34.28
14.5,35.79
15.0,36.72
15.5,37.01
16.0,36.65
16.5,35.68
17.0,34.15
17.5,32.12
18.0,29.68
18.5,26.95
19.0,24.02
19.5,21.01
20.0,18.02
20.5,15.15
21.0,12.48
21.5,10.05
22.0,7.92
22.5,6.12
23.0,4.65
23.5,3.48
24.0,2.58
24.5,1.89
25.0,1.37
25.5,0.98
26.0,0.69
26.5,0.48
27.0,0.33
27.5,0.22
28.0,0.15
28.5,0.10
29.0,0.07
29.5,0.04
30.0,0.03
