tem_particle_id,diameter_nm
1,12.3
2,14.5
3,11.8
4,15.2
5,13.7
6,16.1
7,12.9
8,14.8
9,13.2
10,15.6
11,11.5
12,14.1
13,13.9
14,15.8
15,12.6
16,14.3
17,13.4
18,15.1
19,12.1
20,14.7
21,13.6
22,15.4
23,12.8
24,14.9
25,13.1
26,15.7
27,12.4
28,14.6
29,13.8
30,15.3
31,12.7
32,14.4
33,13.5
34,15.9
35,12.2
36,14.2
37,13.3
38,15.5
39,12.5
40,14.8
41,13.7
42,15.2
43,12.9
44,14.5
45,13.4
46,15.6
47,12.3
48,14.7
49,13.6
50,15.1
51,12.8
52,14.3
53,13.9
54,15.4
55,12.6
56,14.6
57,13.2
58,15.8
59,12.4
60,14.9
61,13.5
62,15.3
63,12.7
64,14.4
65,13.8
66,15.7
67,12.5
68,14.8
69,13.3
70,15.5
71,12.9
72,14.5
73,13.7
74,15.2
75,12.3
76,14.7
77,13.4
78,15.6
79,12.8
80,14.3
81,13.9
82,15.4
83,12.6
84,14.6
85,13.2
86,15.8
87,12.4
88,14.9
89,13.5
90,15.3
91,12.7
92,14.4
93,13.8
94,15.7
95,12.5
96,14.8
97,13.3
98,15.5
99,12.9
100,14.5
