temperature_C,mass_pct,DTG_pct_per_min
50.0,100.812,5.658
51.1,100.188,2.448
52.2,100.272,0.169
53.3,100.151,0.350
54.4,100.195,1.120
55.5,99.904,2.040
56.6,99.746,-1.259
57.7,100.182,1.592
58.8,99.395,-0.183
59.9,100.222,-3.466
61.0,100.159,1.809
62.1,99.823,0.463
63.2,100.057,0.231
64.3,99.772,1.527
65.4,99.720,-2.333
66.5,100.287,-1.530
67.6,100.057,-1.393
68.7,100.594,-3.287
69.8,100.782,1.763
70.9,100.205,3.135
72.0,100.091,-1.375
73.1,100.508,2.734
74.2,99.488,3.882
75.4,99.652,-2.138
76.5,99.960,-2.109
77.6,100.117,-0.411
78.7,100.050,0.280
79.8,100.055,-0.872
80.9,100.242,0.152
82.0,100.022,0.230
83.1,100.192,-0.349
84.2,100.099,1.546
85.3,99.851,1.475
86.4,99.774,0.607
87.5,99.717,-1.686
88.6,100.145,-1.125
89.7,99.965,-1.928
90.8,100.571,-0.483
91.9,100.071,-0.129
93.0,100.599,1.676
94.1,99.702,2.449
95.2,100.059,0.195
96.3,99.659,0.267
97.4,100.000,-2.943
98.5,100.308,0.214
99.6,99.953,1.439
100.7,99.991,-1.097
101.8,100.195,-2.976
102.9,100.646,1.715
104.0,99.817,3.960
105.1,99.773,-0.359
106.2,99.896,-1.228
107.3,100.044,0.181
108.4,99.856,-0.560
109.5,100.168,-2.047
110.6,100.307,2.020
111.7,99.722,-1.141
112.8,100.559,0.283
113.9,99.660,1.704
115.0,100.183,-2.068
116.1,100.116,-2.005
117.2,100.625,1.038
118.3,99.887,2.523
119.4,100.069,-1.439
120.5,100.204,-1.095
121.6,100.311,0.969
122.7,99.991,-1.231
123.8,100.582,1.326
124.9,99.698,3.650
126.1,99.777,-1.623
127.2,100.056,-0.012
128.3,99.780,2.137
129.4,99.585,-3.015
130.5,100.445,-3.190
131.6,100.288,4.932
132.7,99.358,-0.042
133.8,100.298,-4.537
134.9,100.358,2.775
136.0,99.686,-0.137
137.1,100.388,0.573
138.2,99.560,2.432
139.3,99.852,-1.776
140.4,99.951,-1.334
141.5,100.146,-0.755
142.6,100.118,0.360
143.7,100.066,1.698
144.8,99.743,-1.797
145.9,100.463,-2.071
147.0,100.200,2.831
148.1,99.839,1.681
149.2,99.829,-2.648
150.3,100.422,-1.647
151.4,100.193,3.147
152.5,99.728,1.406
153.6,99.883,-2.631
154.7,100.308,2.152
155.8,99.408,2.579
156.9,99.740,-3.665
158.0,100.216,0.485
159.1,99.633,-1.206
160.2,100.482,-0.146
161.3,99.665,4.072
162.4,99.584,0.291
163.5,99.601,-1.942
164.6,100.012,-1.250
165.7,99.877,1.106
166.8,99.769,-0.710
167.9,100.033,0.045
169.0,99.759,-0.195
170.1,100.076,-1.978
171.2,100.195,-0.143
172.3,100.108,2.354
173.4,99.676,-0.740
174.5,100.271,-1.691
175.7,100.048,0.094
176.8,100.250,-1.108
177.9,100.293,1.662
179.0,99.883,0.262
180.1,100.235,0.437
181.2,99.787,0.267
182.3,100.176,1.242
183.4,99.513,-0.123
184.5,100.203,-2.242
185.6,100.008,3.206
186.7,99.496,-0.419
187.8,100.100,-1.559
188.9,99.840,-2.427
190.0,100.635,-0.993
191.1,100.059,-0.252
192.2,100.691,-0.723
193.3,100.219,4.309
194.4,99.741,0.576
195.5,100.092,-1.505
196.6,100.073,-0.760
197.7,100.259,2.455
198.8,99.532,1.519
199.9,99.924,-1.337
201.0,99.826,-0.665
202.1,100.071,-1.060
203.2,100.060,-0.124
204.3,100.098,-0.645
205.4,100.202,0.683
206.5,99.947,-0.144
207.6,100.234,0.285
208.7,99.885,1.619
209.8,99.877,-0.989
210.9,100.103,-0.824
212.0,100.058,1.805
213.1,99.705,-2.770
214.2,100.669,-0.015
215.3,99.708,5.109
216.4,99.543,-2.865
217.5,100.340,-2.790
218.6,100.158,1.008
219.7,100.117,1.577
220.8,99.810,2.439
221.9,99.580,-0.559
223.0,99.934,-1.840
224.1,99.986,-0.315
225.3,100.003,-0.189
226.4,100.027,-1.671
227.5,100.371,1.622
228.6,99.670,4.286
229.7,99.427,-0.976
230.8,99.885,-0.329
231.9,99.499,3.208
233.0,99.178,-4.339
234.1,100.456,-3.966
235.2,100.052,2.926
236.3,99.811,0.775
237.4,99.881,-3.225
238.5,100.522,-2.069
239.6,100.337,1.152
240.7,100.268,1.088
241.8,100.097,2.669
242.9,99.679,0.622
244.0,99.960,-0.159
245.1,99.714,-2.932
246.2,100.607,0.138
247.3,99.684,4.541
248.4,99.606,0.800
249.5,99.507,-2.868
250.6,100.238,0.049
251.7,99.497,0.265
252.8,100.180,-2.658
253.9,100.083,1.110
255.0,99.935,-3.002
256.1,100.745,0.467
257.2,99.832,2.720
258.3,100.145,0.939
259.4,99.625,1.765
260.5,99.756,-2.706
261.6,100.221,-0.033
262.7,99.763,1.076
263.8,99.984,-1.985
264.9,100.201,-0.155
266.0,100.018,1.505
267.1,99.869,0.041
268.2,100.009,2.317
269.3,99.358,0.457
270.4,99.909,-4.321
271.5,100.311,-2.761
272.6,100.517,0.504
273.7,100.200,2.180
274.8,100.037,0.723
276.0,100.040,1.256
277.1,99.760,-1.076
278.2,100.278,-2.265
279.3,100.259,2.048
280.4,99.826,3.344
281.5,99.522,-1.318
282.6,100.117,-3.817
283.7,100.363,1.209
284.8,99.850,1.360
285.9,100.064,-1.163
287.0,100.107,-0.975
288.1,100.278,-0.129
289.2,100.135,2.618
290.3,99.701,-0.443
291.4,100.233,-0.846
292.5,99.888,1.124
293.6,99.985,-1.604
294.7,100.241,2.555
295.8,99.421,0.048
296.9,100.231,-1.024
298.0,99.647,1.980
299.1,99.794,-3.095
300.2,100.329,-2.409
301.3,100.325,2.780
302.4,99.717,3.055
303.5,99.652,0.978
304.6,99.501,-0.217
305.7,99.700,-4.235
306.8,100.434,-1.393
307.9,100.007,3.559
309.0,99.650,0.458
310.1,99.906,0.492
311.2,99.542,-0.029
312.3,99.912,-2.737
313.4,100.145,1.828
314.5,99.509,-0.200
315.6,100.189,-4.040
316.7,100.400,-0.042
317.8,100.198,2.948
318.9,99.750,0.026
320.0,100.193,0.623
321.1,99.612,2.765
322.2,99.583,-4.224
323.3,100.544,0.342
324.4,99.508,4.096
325.6,99.641,-1.320
326.7,99.799,-1.154
327.8,99.895,-2.078
328.9,100.257,-0.888
330.0,100.091,0.022
331.1,100.252,0.108
332.2,100.067,1.532
333.3,99.914,3.031
334.4,99.399,0.292
335.5,99.850,-0.804
336.6,99.576,1.283
337.7,99.567,-0.496
338.8,99.685,-3.711
339.9,100.385,-1.634
341.0,100.045,1.568
342.1,100.039,2.973
343.2,99.390,1.547
344.3,99.698,-1.022
345.4,99.615,-0.240
346.5,99.751,-1.267
347.6,99.895,0.767
348.7,99.582,1.161
349.8,99.639,-0.899
350.9,99.780,-0.184
352.0,99.679,0.027
353.1,99.774,4.512
354.2,98.685,2.686
355.3,99.182,-3.253
356.4,99.402,0.313
357.5,99.113,1.558
358.6,99.058,2.422
359.7,98.580,-2.056
360.8,99.512,-2.700
361.9,99.175,2.524
363.0,98.955,-2.408
364.1,99.706,-0.224
365.2,99.005,1.589
366.3,99.355,-0.504
367.4,99.116,0.801
368.5,99.179,3.605
369.6,98.321,1.595
370.7,98.827,-1.631
371.8,98.681,-0.574
372.9,98.954,-3.779
374.0,99.514,-0.488
375.2,99.062,2.722
376.3,98.914,4.812
377.4,98.001,2.230
378.5,98.422,-0.877
379.6,98.194,3.077
380.7,97.744,0.133
381.8,98.165,-2.357
382.9,98.263,0.988
384.0,97.947,1.171
385.1,98.005,-0.277
386.2,98.008,2.937
387.3,97.358,0.407
388.4,97.918,1.952
389.5,96.927,4.331
390.6,96.964,0.342
391.7,96.852,1.812
392.8,96.564,3.570
393.9,96.065,-0.356
395.0,96.643,-2.798
396.1,96.682,2.619
397.2,96.065,4.327
398.3,95.728,3.245
399.4,95.350,1.697
400.5,95.354,0.978
401.6,95.134,3.265
402.7,94.634,4.131
403.8,94.224,5.866
404.9,93.341,1.994
406.0,93.784,-2.480
407.1,93.887,2.925
408.2,93.139,7.214
409.3,92.297,4.555
410.4,92.135,3.593
411.5,91.505,5.381
412.6,90.949,-0.375
413.7,91.588,0.981
414.8,90.733,5.644
415.9,90.344,7.652
417.0,89.046,4.500
418.1,89.352,0.860
419.2,88.856,4.059
420.3,88.457,7.616
421.4,87.177,8.910
422.5,86.493,2.524
423.6,86.621,3.299
424.7,85.766,8.301
425.9,84.791,6.250
427.0,84.388,3.849
428.1,83.943,7.507
429.2,82.733,8.822
430.3,81.998,6.545
431.4,81.290,7.371
432.5,80.373,9.397
433.6,79.219,9.085
434.7,78.370,10.819
435.8,76.834,10.612
436.9,76.031,2.862
438.0,76.203,8.267
439.1,74.209,15.348
440.2,72.820,7.052
441.3,72.654,5.183
442.4,71.677,13.825
443.5,69.606,12.833
444.6,68.848,9.163
445.7,67.587,11.326
446.8,66.352,11.907
447.9,64.962,11.960
449.0,63.715,10.950
450.1,62.548,9.702
451.2,61.577,11.320
452.3,60.053,12.302
453.4,58.865,11.510
454.5,57.515,12.662
455.6,56.073,13.261
456.7,54.592,13.128
457.8,53.180,11.894
458.9,51.970,11.155
460.0,50.721,13.751
461.1,48.939,13.348
462.2,47.778,8.986
463.3,46.958,12.267
464.4,45.074,13.329
465.5,44.020,12.907
466.6,42.229,10.428
467.7,41.721,8.079
468.8,40.448,13.093
469.9,38.835,13.248
471.0,37.527,11.133
