temperature_C,mass_pct,DTG_pct_per_min
50.0,99.645,-6.859
51.1,100.401,-1.182
52.2,99.905,1.063
53.3,100.166,-0.143
54.4,99.936,0.774
55.5,99.996,-1.965
56.6,100.370,0.043
57.7,99.986,2.609
58.8,99.795,-1.693
59.9,100.359,-2.756
61.0,100.402,2.770
62.1,99.749,0.419
63.2,100.310,-3.402
64.3,100.499,0.118
65.4,100.284,0.815
66.5,100.319,0.756
67.6,100.117,0.636
68.7,100.179,2.379
69.8,99.593,2.130
70.9,99.709,-1.364
72.0,99.893,-1.749
73.1,100.095,0.893
74.2,99.697,-0.581
75.4,100.223,-1.410
76.5,100.007,0.772
77.6,100.053,0.719
78.7,99.849,0.707
79.8,99.897,-1.339
80.9,100.144,-0.494
82.0,100.006,0.909
83.1,99.944,0.797
84.2,99.830,-0.980
85.3,100.160,-0.383
86.4,99.914,0.888
87.5,99.964,-0.797
88.6,100.090,-2.551
89.7,100.526,0.782
90.8,99.918,1.213
91.9,100.259,-1.831
93.0,100.321,1.796
94.1,99.863,1.675
95.2,99.952,-2.821
96.3,100.485,-1.697
97.4,100.326,2.769
98.5,99.875,0.782
99.6,100.154,-2.765
100.7,100.484,1.358
101.8,99.854,2.791
102.9,99.869,1.121
104.0,99.607,-3.273
105.1,100.590,-2.077
106.2,100.065,4.012
107.3,99.706,0.318
108.4,99.995,-0.692
109.5,99.859,1.139
110.6,99.744,0.839
111.7,99.674,-2.362
112.8,100.264,-2.672
113.9,100.263,-1.764
115.0,100.653,2.224
116.1,99.773,2.092
117.2,100.192,-0.935
118.3,99.979,0.726
119.4,100.032,-0.430
120.5,100.073,0.445
121.6,99.934,2.242
122.7,99.579,-0.513
123.8,100.047,0.397
124.9,99.492,0.033
126.1,100.040,-1.479
127.2,99.817,-3.121
128.3,100.727,0.044
129.4,99.808,5.073
130.5,99.609,-0.038
131.6,99.816,-1.689
132.7,99.982,0.787
133.8,99.643,-0.076
134.9,99.998,1.794
136.0,99.248,-2.625
137.1,100.577,-4.342
138.2,100.205,5.065
139.3,99.460,-1.605
140.4,100.559,-1.346
141.5,99.757,1.604
142.6,100.205,-1.801
143.7,100.154,0.529
144.8,100.088,-2.080
145.9,100.613,-2.908
147.0,100.729,3.087
148.1,99.932,4.144
149.2,99.816,1.482
150.3,99.605,-0.865
151.4,100.007,-1.816
152.5,100.006,0.768
153.6,99.837,-0.938
154.7,100.213,-0.148
155.8,99.870,2.997
156.9,99.552,0.531
158.0,99.753,-0.961
159.1,99.764,-1.312
160.2,100.042,0.061
161.3,99.750,1.623
162.4,99.685,-2.041
163.5,100.200,-0.310
164.6,99.753,0.897
165.7,100.002,-2.263
166.8,100.252,-0.633
167.9,100.142,3.009
169.0,99.588,0.342
170.1,100.066,-1.077
171.2,99.826,1.740
172.3,99.683,1.809
173.4,99.427,0.056
174.5,99.670,1.285
175.7,99.144,1.720
176.8,99.291,-3.640
177.9,99.946,-2.773
179.0,99.903,1.864
180.1,99.535,-1.142
181.2,100.154,0.834
182.3,99.351,0.610
183.4,100.020,-2.731
184.5,99.953,2.366
185.6,99.498,-1.381
186.7,100.258,-3.026
187.8,100.165,4.317
188.9,99.306,1.192
190.0,99.902,-2.119
191.1,99.774,2.097
192.2,99.440,-1.128
193.3,100.022,-0.860
194.4,99.630,0.148
195.5,99.990,-4.035
196.6,100.519,0.610
197.7,99.855,2.374
198.8,99.996,-1.941
199.9,100.283,-2.262
201.0,100.495,-0.055
202.1,100.295,1.682
203.2,100.124,1.745
204.3,99.910,1.594
205.4,99.773,1.732
206.5,99.529,0.100
207.6,99.751,-0.086
208.7,99.548,0.554
209.8,99.628,-0.697
210.9,99.701,0.384
212.0,99.544,2.428
213.1,99.166,1.128
214.2,99.295,-4.479
215.3,100.153,-0.032
216.4,99.302,1.787
217.5,99.760,-1.387
218.6,99.608,-0.132
219.7,99.789,1.773
220.8,99.217,-0.612
221.9,99.924,1.167
223.0,98.960,4.032
224.1,99.035,-0.271
225.3,99.020,-3.294
226.4,99.761,-1.165
227.5,99.277,-0.337
228.6,99.835,0.874
229.7,99.084,2.051
230.8,99.383,-0.388
231.9,99.169,1.281
233.0,99.101,1.995
234.1,98.730,1.482
235.2,98.774,-1.484
236.3,99.057,-2.209
237.4,99.261,-1.459
238.5,99.379,3.047
239.6,98.589,1.827
240.7,98.976,-0.885
241.8,98.784,3.747
242.9,98.150,0.048
244.0,98.774,-1.311
245.1,98.439,1.923
246.2,98.350,-0.402
