temperature_C,mass_pct,DTG_pct_per_min
50.0,99.779,0.338
51.1,99.742,0.255
52.2,99.723,-1.495
53.3,100.072,-0.463
54.4,99.825,-0.593
55.5,100.202,-0.826
56.6,100.007,0.617
57.7,100.066,1.175
58.8,99.748,0.470
59.9,99.963,-2.564
61.0,100.313,0.065
62.1,99.948,-0.653
63.2,100.457,0.522
64.3,99.833,1.498
65.4,100.127,-0.320
66.5,99.904,2.426
67.6,99.592,-0.755
68.7,100.070,-3.954
69.8,100.464,0.882
70.9,99.876,4.541
72.0,99.463,-0.167
73.1,99.912,-1.986
74.2,99.901,-1.500
75.4,100.243,1.088
76.5,99.661,1.629
77.6,99.884,-1.439
78.7,99.978,-0.266
79.8,99.943,-0.195
80.9,100.021,1.021
82.0,99.717,1.088
83.1,99.781,-1.070
84.2,99.953,-3.937
85.3,100.649,-0.136
86.4,99.983,4.544
87.5,99.647,0.682
88.6,99.833,-2.440
89.7,100.185,-2.265
90.8,100.332,0.687
91.9,100.034,0.294
93.0,100.267,1.368
94.1,99.732,2.934
95.2,99.621,-2.087
96.3,100.192,-1.203
97.4,99.886,1.207
98.5,99.926,-0.356
99.6,99.964,0.402
100.7,99.837,1.069
101.8,99.729,-0.458
102.9,99.938,-1.624
104.0,100.087,-0.128
105.1,99.967,2.058
106.2,99.633,-0.542
107.3,100.086,-2.260
108.4,100.131,-0.431
109.5,100.181,-0.257
110.6,100.188,-1.984
111.7,100.618,2.313
112.8,99.678,3.200
113.9,99.913,-2.984
115.0,100.336,-0.272
116.1,99.973,3.332
117.2,99.602,-0.745
118.3,100.137,-3.636
119.4,100.403,2.513
120.5,99.583,2.835
121.6,99.778,-0.971
122.7,99.798,1.292
123.8,99.493,-0.688
124.9,99.949,-3.732
126.1,100.316,-0.166
127.2,99.986,-0.199
128.3,100.360,-0.193
129.4,100.029,1.710
130.5,99.983,-0.638
131.6,100.169,0.398
132.7,99.895,3.919
133.8,99.305,-1.766
134.9,100.284,-6.073
136.0,100.644,-1.763
137.1,100.673,-1.739
138.2,101.027,3.463
139.3,99.910,3.581
140.4,100.238,0.906
141.5,99.710,1.862
142.6,99.827,-0.428
143.7,99.804,-2.104
144.8,100.291,-0.681
145.9,99.954,3.005
147.0,99.629,0.813
148.1,99.775,0.706
149.2,99.473,0.977
150.3,99.560,-3.989
151.4,100.352,-1.206
152.5,99.826,2.306
153.6,99.844,-2.527
154.7,100.383,-1.292
155.8,100.129,2.386
156.9,99.857,3.512
158.0,99.355,-0.092
159.1,99.877,-1.096
160.2,99.596,-0.904
161.3,100.076,-0.990
162.4,99.815,0.103
163.5,100.054,0.321
164.6,99.744,1.753
165.7,99.667,-1.121
166.8,99.991,-0.806
167.9,99.845,1.593
169.0,99.640,-1.857
170.1,100.254,-2.958
171.2,100.292,1.206
172.3,99.988,2.032
173.4,99.844,1.312
174.5,99.699,-0.746
175.7,100.008,-1.137
176.8,99.950,-2.148
177.9,100.482,-1.264
179.0,100.228,4.365
180.1,99.520,2.315
181.2,99.718,-2.882
182.3,100.155,0.543
183.4,99.598,-1.092
184.5,100.396,-0.440
185.6,99.695,4.335
186.7,99.440,-2.496
187.8,100.245,-2.938
188.9,100.088,-0.559
190.0,100.369,0.092
191.1,100.067,3.308
192.2,99.639,1.147
193.3,99.814,-1.345
194.4,99.936,-1.282
195.5,100.097,-0.006
196.6,99.937,0.243
197.7,100.043,-2.209
198.8,100.424,-2.152
199.9,100.518,3.773
201.0,99.592,1.188
202.1,100.256,-0.924
203.2,99.796,-1.285
204.3,100.539,-0.595
205.4,99.927,4.032
206.5,99.650,-0.943
207.6,100.135,-1.992
208.7,100.089,-0.459
209.8,100.236,0.036
210.9,100.082,0.463
212.0,100.134,0.885
213.1,99.886,0.043
214.2,100.125,0.506
215.3,99.775,2.423
216.4,99.591,0.095
217.5,99.754,0.354
218.6,99.513,-1.499
219.7,100.084,-1.263
220.8,99.791,0.886
221.9,99.889,-0.389
223.0,99.877,-1.644
224.1,100.251,1.383
225.3,99.572,0.643
226.4,100.110,-2.270
227.5,100.073,1.179
228.6,99.850,-0.741
229.7,100.236,0.781
230.8,99.678,1.044
231.9,100.006,-2.612
233.0,100.253,1.764
234.1,99.617,2.914
235.2,99.611,-0.509
236.3,99.729,-0.940
237.4,99.818,-0.419
238.5,99.821,-0.427
239.6,99.912,0.453
240.7,99.721,0.840
241.8,99.727,0.451
242.9,99.622,-0.468
244.0,99.831,-0.692
245.1,99.775,-1.847
246.2,100.238,-1.847
247.3,100.182,3.370
248.4,99.495,1.390
249.5,99.875,-2.064
250.6,99.950,-1.802
251.7,100.273,-1.694
252.8,100.323,-0.069
253.9,100.288,2.928
255.0,99.678,3.566
256.1,99.502,0.024
257.2,99.672,-0.132
258.3,99.531,-1.860
259.4,100.082,-2.538
260.5,100.090,2.090
261.6,99.622,2.263
262.7,99.591,-0.219
263.8,99.670,-2.626
264.9,100.170,1.726
266.0,99.290,0.374
267.1,100.088,-3.766
268.2,100.120,-0.141
269.3,100.119,0.157
270.4,100.085,0.035
271.5,100.111,1.523
272.6,99.749,2.160
273.7,99.635,1.976
274.8,99.314,-0.212
276.0,99.682,-2.650
277.1,99.898,-0.928
278.2,99.886,-0.891
279.3,100.095,0.516
280.4,99.773,0.580
281.5,99.967,-1.559
