# Literature basis: Portland cement isothermal calorimetry. C3S main
# hydration peak near 8-12 h (heat flow mW/g); C2S contributes slowly after
# ~24 h. Cumulative heat saturates ~300-350 J/g by 7 d. Ca(OH)2 grows
# stepwise with C3S hydration. Values synthetic but follow the real curve
# shape (induction -> acceleration -> deceleration -> slow C2S tail).
time_h,heat_flow_mW_g,cum_heat_J_g,CH_content_pct
0.0,0.2,0.0,0.0
1.0,0.5,1.0,1.0
3.0,1.2,6.0,3.0
6.0,3.8,24.0,8.0
8.0,5.6,58.0,14.0
12.0,4.2,110.0,22.0
18.0,2.0,160.0,30.0
24.0,1.3,195.0,36.0
48.0,0.9,250.0,48.0
72.0,0.7,290.0,56.0
168.0,0.6,330.0,64.0
