# WER-EA material family radar comparison (5 performance dimensions).
# Basis: representative literature ranges normalized 0-1.
#   WER dominates bonding/durability; emulsifier dominates stability;
#   asphalt best cost-effectiveness. Values are representative, not measured.
family,performance_dim,normalized_value
Asphalt,Bonding,0.35
Asphalt,Stability,0.5
Asphalt,Rheology,0.6
Asphalt,Durability,0.4
Asphalt,Cost-eff.,0.9
Emulsifier,Bonding,0.5
Emulsifier,Stability,0.8
Emulsifier,Rheology,0.5
Emulsifier,Durability,0.5
Emulsifier,Cost-eff.,0.7
WER,Bonding,0.9
WER,Stability,0.7
WER,Rheology,0.8
WER,Durability,0.85
WER,Cost-eff.,0.4
Curing agent,Bonding,0.7
Curing agent,Stability,0.4
Curing agent,Rheology,0.3
Curing agent,Durability,0.6
Curing agent,Cost-eff.,0.6
