two_theta,neat_matrix,0.5wt_filler,1.0wt_filler
10.0,112.34,120.68,121.32
10.2,120.43,118.57,116.96
10.4,117.81,117.96,118.15
10.6,114.95,130.55,111.65
10.8,125.07,127.06,114.73
11.0,117.93,117.07,118.0
11.2,122.79,124.25,119.18
11.4,126.63,110.2,116.76
11.6,125.16,123.7,119.94
11.8,110.29,115.7,116.79
12.0,121.33,107.75,125.05
12.2,124.36,113.3,119.13
12.4,126.57,118.67,124.17
12.6,127.89,130.53,121.19
12.8,112.95,112.49,108.34
13.0,115.29,112.68,124.87
13.2,116.7,125.27,120.86
13.4,129.32,119.01,117.07
13.6,112.27,121.97,112.22
13.8,115.97,126.72,114.32
14.0,115.17,121.84,117.76
14.2,117.66,126.0,121.16
14.4,117.84,126.55,124.51
14.6,114.96,119.68,128.12
14.8,122.49,122.74,121.51
15.0,121.42,117.93,126.99
15.2,120.75,125.69,121.93
15.4,127.44,125.77,125.41
15.6,124.79,121.61,124.82
15.8,119.78,124.68,115.51
16.0,114.82,129.59,123.38
16.2,116.27,123.2,120.95
16.4,121.94,124.97,121.83
16.6,129.02,116.05,119.12
16.8,124.99,121.28,111.38
17.0,116.55,122.45,116.98
17.2,118.21,121.05,116.03
17.4,113.1,110.98,125.71
17.6,115.87,120.68,115.05
17.8,121.65,124.45,127.74
18.0,111.03,121.22,116.06
18.2,114.08,126.57,124.95
18.4,123.69,125.36,118.73
18.6,113.88,112.75,117.22
18.8,110.97,121.05,121.77
19.0,120.46,121.27,111.4
19.2,129.79,124.23,125.14
19.4,114.26,124.59,116.79
19.6,119.29,113.51,115.09
19.8,126.39,121.09,114.93
20.0,113.93,121.04,117.71
20.2,124.46,125.67,121.62
20.4,123.76,131.69,122.88
20.6,126.96,131.88,132.93
20.8,130.44,134.98,136.73
21.0,125.53,139.29,143.51
21.2,154.86,146.87,152.96
21.4,160.01,159.52,156.73
21.6,180.26,181.19,183.23
21.8,193.58,206.8,213.26
22.0,229.63,228.23,219.92
22.2,260.72,257.3,264.72
22.4,293.89,295.14,287.73
22.6,330.97,341.34,333.66
22.8,392.02,386.41,387.08
23.0,449.12,437.81,434.95
23.2,495.12,505.74,502.06
23.4,571.11,575.52,568.48
