pavement_age_years,average_rutting_mm,rutting_sd,transverse_cracking_pct,cracking_sd,longitudinal_cracking_m_per_100m,longitudinal_sd,iri_m_per_km,iri_sd
0,0.5,0.2,0.0,0.0,0.0,0.0,1.2,0.1
1,2.1,0.4,0.0,0.0,0.2,0.1,1.3,0.1
2,3.8,0.5,0.5,0.2,0.8,0.3,1.5,0.2
3,5.2,0.6,1.2,0.4,1.5,0.4,1.7,0.2
4,6.5,0.7,2.0,0.5,2.2,0.5,1.9,0.2
5,7.8,0.8,3.1,0.6,3.0,0.6,2.1,0.3
6,8.9,0.9,4.5,0.8,3.8,0.7,2.4,0.3
7,10.0,1.0,6.2,1.0,4.5,0.8,2.7,0.3
8,11.2,1.1,8.0,1.2,5.2,0.9,3.0,0.4
10,13.5,1.3,12.5,1.5,6.8,1.1,3.8,0.5
12,15.8,1.5,18.0,2.0,8.5,1.3,4.5,0.6
